Gene description	Gene name
survival of motor neuron 2, centromeric [Source:HGNC Symbol;Acc:HGNC:11118]	SMN2
RPS5 pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:10427]	RPS5P3
DnaJ heat shock protein family (Hsp40) member C28 [Source:HGNC Symbol;Acc:HGNC:1297]	DNAJC28
ribosomal protein, large, P0 (RPLP0) pseudogene	
interferon gamma receptor 2 [Source:HGNC Symbol;Acc:HGNC:5440]	IFNGR2
spindle and kinetochore associated complex subunit 1 [Source:HGNC Symbol;Acc:HGNC:28109]	SKA1
intraflagellar transport 57 homolog (Chlamydomonas) (IFT57) pseudogene	
olfactory receptor family 2 subfamily AS member 2 pseudogene [Source:HGNC Symbol;Acc:HGNC:31248]	OR2AS2P
olfactory receptor family 2 subfamily T member 6 [Source:HGNC Symbol;Acc:HGNC:15018]	OR2T6
PAX3 and PAX7 binding protein 1 [Source:HGNC Symbol;Acc:HGNC:13579]	PAXBP1
microtubule-associated protein 1 light chain 3 beta (MAP1LC3B) pseudogene	
long intergenic non-protein coding RNA 235 [Source:HGNC Symbol;Acc:HGNC:14138]	LINC00235
olfactory receptor family 2 subfamily T member 2 [Source:HGNC Symbol;Acc:HGNC:14725]	OR2T2
calpain 15 [Source:HGNC Symbol;Acc:HGNC:11182]	CAPN15
mitogen-activated protein kinase 4 [Source:HGNC Symbol;Acc:HGNC:6878]	MAPK4
olfactory receptor family 2 subfamily T member 4 [Source:HGNC Symbol;Acc:HGNC:15016]	OR2T4
ankyrin repeat domain 26 (ANKRD26) pseudogene	
potassium voltage-gated channel interacting protein 4 [Source:HGNC Symbol;Acc:HGNC:30083]	KCNIP4
RNA, 5S ribosomal pseudogene 458 [Source:HGNC Symbol;Acc:HGNC:43358]	RNA5SP458
chromosome 21 open reading frame 62 [Source:HGNC Symbol;Acc:HGNC:1305]	C21orf62
ribosomal protein L31 (RPL31) pseudogene	
olfactory receptor family 2 subfamily T member 7 [Source:HGNC Symbol;Acc:HGNC:15019]	OR2T7
olfactory receptor family 2 subfamily T member 1 [Source:HGNC Symbol;Acc:HGNC:8277]	OR2T1
C21orf62 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:1290]	C21orf62-AS1
olfactory receptor family 2 subfamily T member 3 [Source:HGNC Symbol;Acc:HGNC:14727]	OR2T3
artifact	
leucine rich repeat containing 56 [Source:HGNC Symbol;Acc:HGNC:25430]	LRRC56
olfactory receptor family 2 subfamily T member 5 [Source:HGNC Symbol;Acc:HGNC:15017]	OR2T5
transmembrane protein 50B [Source:HGNC Symbol;Acc:HGNC:1280]	TMEM50B
novel transcript, antisense to KCNQ2	
DLG associated protein 2 [Source:NCBI gene (formerly Entrezgene);Acc:9228]	DLGAP2
cadherin 12 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:1752]	CDH12P2
pro-melanin concentrating hormone like 2 (pseudogene) [Source:HGNC Symbol;Acc:HGNC:9111]	PMCHL2
glutamate rich 1 [Source:HGNC Symbol;Acc:HGNC:27234]	ERICH1
general transcription factor IIH subunit 2 [Source:HGNC Symbol;Acc:HGNC:4656]	GTF2H2
PHD and ring finger domains 1 [Source:HGNC Symbol;Acc:HGNC:24351]	PHRF1
FRG1 divergent transcript [Source:HGNC Symbol;Acc:HGNC:51590]	FRG1-DT
long intergenic non-protein coding RNA 1596 [Source:NCBI gene (formerly Entrezgene);Acc:105377617]	LINC01596
RNA, U1 small nuclear 51, pseudogene [Source:HGNC Symbol;Acc:HGNC:48393]	RNU1-51P
MAFF interacting protein (pseudogene) [Source:HGNC Symbol;Acc:HGNC:31102]	MAFIP
Novel priotein, similar to killer cell immunoglobulin-like receptor protein	
golgin A6 family like 22 [Source:HGNC Symbol;Acc:HGNC:50289]	GOLGA6L22
syntrophin beta 2 [Source:HGNC Symbol;Acc:HGNC:11169]	SNTB2
ribosomal protein S6 pseudogene 22 [Source:HGNC Symbol;Acc:HGNC:35655]	RPS6P22
LRIG3 divergent transcript [Source:HGNC Symbol;Acc:HGNC:55476]	LRIG3-DT
methyltransferase 5 domain containing 1 (METT5D1) pseudogene	
DLGAP2 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:50467]	DLGAP2-AS1
DLG associated protein 2 [Source:HGNC Symbol;Acc:HGNC:2906]	DLGAP2
ring finger protein 145 (Rnf145) pseudogene	
golgin A8 family member E, pseudogene [Source:HGNC Symbol;Acc:HGNC:32377]	GOLGA8EP
UTP4 small subunit processome component [Source:HGNC Symbol;Acc:HGNC:1983]	UTP4
exosome component 6 (EXOSC6) pseudogene	
hect domain and RLD 2 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:4870]	HERC2P2
mitofusin 1 (MFN1) pseudogene	
contactin associated protein 2 [Source:HGNC Symbol;Acc:HGNC:13830]	CNTNAP2
MAD2L1 divergent transcript [Source:HGNC Symbol;Acc:HGNC:55546]	MAD2L1-DT
hect domain and RLD 2 pseudogene 7 [Source:HGNC Symbol;Acc:HGNC:4875]	HERC2P7
SPATA31 subfamily E member 3, pseudogene [Source:HGNC Symbol;Acc:HGNC:43828]	SPATA31E3P
Ig heavy chain V-I pseudogene	
golgin A8 family member I, pseudogene [Source:HGNC Symbol;Acc:HGNC:26660]	GOLGA8IP
Small nucleolar RNA U3 [Source:RFAM;Acc:RF00012]	U3
olfactory receptor family 8 subfamily U member 9 [Source:HGNC Symbol;Acc:HGNC:29166]	OR8U9
olfactory receptor family 8 subfamily J member 2 (gene/pseudogene) [Source:HGNC Symbol;Acc:HGNC:15311]	OR8J2
family with sequence similarity 8 member A2, pseudogene [Source:HGNC Symbol;Acc:HGNC:16373]	FAM8A2P
N(alpha)-acetyltransferase 50, NatE catalytic subunit (NAA50) pseudogene	
olfactory receptor family 8 subfamily U member 8 [Source:HGNC Symbol;Acc:HGNC:27538]	OR8U8
novel transcript, sense intronic to NDUFA6	
olfactory receptor family 8 subfamily L member 1 pseudogene [Source:HGNC Symbol;Acc:HGNC:15316]	OR8L1P
NDUFA6 divergent transcript [Source:HGNC Symbol;Acc:HGNC:45273]	NDUFA6-DT
olfactory receptor family 5 subfamily T member 3 [Source:HGNC Symbol;Acc:HGNC:15297]	OR5T3
olfactory receptor family 5 subfamily T member 2 [Source:HGNC Symbol;Acc:HGNC:15296]	OR5T2
olfactory receptor family 8 subfamily K member 2 pseudogene [Source:HGNC Symbol;Acc:HGNC:14832]	OR8K2P
olfactory receptor family 8 subfamily I member 1 pseudogene [Source:HGNC Symbol;Acc:HGNC:14828]	OR8I1P
olfactory receptor family 8 subfamily K member 3 (gene/pseudogene) [Source:HGNC Symbol;Acc:HGNC:15313]	OR8K3
olfactory receptor family 8 subfamily H member 1 [Source:HGNC Symbol;Acc:HGNC:14824]	OR8H1
ribosomal protein L4 pseudogene 5 [Source:HGNC Symbol;Acc:HGNC:35699]	RPL4P5
interactor of little elongation complex ELL subunit 2 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:48856]	ICE2P1
chondroitin sulfate proteoglycan 4 (CSPG4) pseudogene	
long intergenic non-protein coding RNA 1060 [Source:HGNC Symbol;Acc:HGNC:49081]	LINC01060
olfactory receptor family 5 subfamily T member 1 [Source:HGNC Symbol;Acc:HGNC:14821]	OR5T1
single-pass membrane protein with aspartate rich tail 1 [Source:HGNC Symbol;Acc:HGNC:25055]	SMDT1
ribosomal protein L5 pseudogene 29 [Source:HGNC Symbol;Acc:HGNC:36335]	RPL5P29
olfactory receptor family 8 subfamily K member 1 [Source:HGNC Symbol;Acc:HGNC:14831]	OR8K1
olfactory receptor family 8 subfamily J member 1 [Source:HGNC Symbol;Acc:HGNC:14855]	OR8J1
ribosomal protein S17 [Source:HGNC Symbol;Acc:HGNC:10397]	RPS17
NKD inhibitor of WNT signaling pathway 2 [Source:HGNC Symbol;Acc:HGNC:17046]	NKD2
ribosomal protein L7a (RPL7A) pseudogene	
OLA1 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:45274]	OLA1P1
NADH:ubiquinone oxidoreductase subunit A6 [Source:HGNC Symbol;Acc:HGNC:7690]	NDUFA6
ccytochrome P450 family 2 subfamily D member 8, pseudogene [Source:HGNC Symbol;Acc:HGNC:2628]	CYP2D8P
cytochrome P450 family 2 subfamily D member 6 [Source:HGNC Symbol;Acc:HGNC:2625]	CYP2D6
succinate dehydrogenase complex flavoprotein subunit A pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:27408]	SDHAP2
golgin A8 family member F [Source:HGNC Symbol;Acc:HGNC:32378]	GOLGA8F
MUC20 overlapping transcript [Source:HGNC Symbol;Acc:HGNC:53807]	MUC20-OT1
long intergenic non-protein coding RNA 1194 [Source:HGNC Symbol;Acc:HGNC:37171]	LINC01194
cytochrome P450 family 2 subfamily D member 7 (gene/pseudogene) [Source:HGNC Symbol;Acc:HGNC:2624]	CYP2D7
lamin tail domain containing 2 [Source:HGNC Symbol;Acc:HGNC:28561]	LMNTD2
golgin A6 family like 10 [Source:HGNC Symbol;Acc:HGNC:37228]	GOLGA6L10
multiple EGF like domains 11 [Source:HGNC Symbol;Acc:HGNC:29635]	MEGF11
dynamin 1 pseudogene 38 [Source:HGNC Symbol;Acc:HGNC:35188]	DNM1P38
solute carrier family 12 member 7 [Source:HGNC Symbol;Acc:HGNC:10915]	SLC12A7
ABR activator of RhoGEF and GTPase [Source:HGNC Symbol;Acc:HGNC:81]	ABR
hect domain and RLD 2 pseudogene 11 [Source:HGNC Symbol;Acc:HGNC:49882]	HERC2P11
TNF receptor superfamily member 14 [Source:HGNC Symbol;Acc:HGNC:11912]	TNFRSF14
cytoplasmic polyadenylation element binding protein 1 [Source:HGNC Symbol;Acc:HGNC:21744]	CPEB1
ATP-binding cassette, sub-family B (MDR/TAP), member 10 pseudogene 3	
cholinergic receptor, nicotinic, beta 4 (CHRNB4) pseudogene	
golgin A8 family member G [Source:HGNC Symbol;Acc:HGNC:25328]	GOLGA8G
MIR210 host gene [Source:HGNC Symbol;Acc:HGNC:39524]	MIR210HG
chromosome 6 open reading frame 108 (C6orf108) pseudogene	
ribonuclease/angiogenin inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:10074]	RNH1
novel killer cell immunoglobulin-like receptor protein	
DIS3L antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:55369]	DIS3L-AS1
cadherin 12 (N-cadherin 2) (CDH12) pseudogene	
small EDRK-rich factor 1B [Source:HGNC Symbol;Acc:HGNC:10756]	SERF1B
metaxin 1 (MTX1) pseudogene	
CDC like kinase 2 [Source:HGNC Symbol;Acc:HGNC:2069]	CLK2
novel transcript, antisense to SMN2	
family with sequence similarity 108, member A1 (F	
NLR family apoptosis inhibitory protein [Source:HGNC Symbol;Acc:HGNC:7634]	NAIP
golgin subfamily A member 8 like pseudogene	
family with sequence similarity 208, member A (FAM208A)	
ABCB10 pseudogene 4 [Source:HGNC Symbol;Acc:HGNC:31130]	ABCB10P4
golgin subfamily A member 6-like pseudogene	
hect domain and RLD 2 (HERC2) pseudogene	
HECT and RLD domain containing E3 ubiquitin protein ligase 2 [Source:HGNC Symbol;Acc:HGNC:4868]	HERC2
transcription factor 20 [Source:HGNC Symbol;Acc:HGNC:11631]	TCF20
leukocyte immunoglobulin like receptor A4 [Source:HGNC Symbol;Acc:HGNC:15503]	LILRA4
protein phosphatase 4, regulatory subunit 2, pseudogene.	
tetratricopeptide repeat domain 34 [Source:HGNC Symbol;Acc:HGNC:34297]	TTC34
mucin 20, cell surface associated [Source:HGNC Symbol;Acc:HGNC:23282]	MUC20
membrane metalloendopeptidase like 1 [Source:HGNC Symbol;Acc:HGNC:14668]	MMEL1
leukocyte associated immunoglobulin like receptor 1 [Source:HGNC Symbol;Acc:HGNC:6477]	LAIR1
pyruvate kinase L/R [Source:HGNC Symbol;Acc:HGNC:9020]	PKLR
mucin 4, cell surface associated [Source:HGNC Symbol;Acc:HGNC:7514]	MUC4
dopamine receptor D4 [Source:HGNC Symbol;Acc:HGNC:3025]	DRD4
DEAF1 transcription factor [Source:HGNC Symbol;Acc:HGNC:14677]	DEAF1
methylcrotonyl-CoA carboxylase subunit 2 [Source:HGNC Symbol;Acc:HGNC:6937]	MCCC2
interferon regulatory factor 7 [Source:HGNC Symbol;Acc:HGNC:6122]	IRF7
metaxin 1 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:7505]	MTX1P1
glucosidase, beta, acid (GBA) pseudogene	
secretory carrier membrane protein 3 [Source:HGNC Symbol;Acc:HGNC:10565]	SCAMP3
chondroitin sulfate proteoglycan 4 pseudogene 10 [Source:HGNC Symbol;Acc:HGNC:48361]	CSPG4P10
proteasome 20S subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:9537]	PSMB1
novel transcript, overlapping to FAM120B	
translocase of inner mitochondrial membrane 22 [Source:HGNC Symbol;Acc:HGNC:17317]	TIMM22
family with sequence similarity 120B [Source:HGNC Symbol;Acc:HGNC:21109]	FAM120B
golgin A6 family like 9 [Source:HGNC Symbol;Acc:HGNC:37229]	GOLGA6L9
nucleoredoxin [Source:HGNC Symbol;Acc:HGNC:18008]	NXN
novel killer cell immunoglobulin-like receptor protein identical to KIR2DS3	
B double prime 1, subunit of RNA polymerase III transcription initiation factor IIIB [Source:HGNC Symbol;Acc:HGNC:13652]	BDP1
golgin A6 family like 17, pseudogene [Source:HGNC Symbol;Acc:HGNC:49414]	GOLGA6L17P
novel protein	
dynamin 1 (DNM1) pseudogene	
GOLGA2 pseudogene 10 [Source:HGNC Symbol;Acc:HGNC:26229]	GOLGA2P10
glucosylceramidase beta [Source:HGNC Symbol;Acc:HGNC:4177]	GBA
MMEL1 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:40695]	MMEL1-AS1
HRas proto-oncogene, GTPase [Source:HGNC Symbol;Acc:HGNC:5173]	HRAS
pantothenate kinase 4 (inactive) [Source:HGNC Symbol;Acc:HGNC:19366]	PANK4
golgin A6 family like 10 [Source:NCBI gene (formerly Entrezgene);Acc:647042]	GOLGA6L10
long intergenic non-protein coding RNA 976	
long intergenic non-protein coding RNA 824 [Source:HGNC Symbol;Acc:HGNC:50281]	LINC00824
ubiquitin conjugating enzyme E2 Q2 pseudogene 6 [Source:HGNC Symbol;Acc:HGNC:49412]	UBE2Q2P6
ribosomal protein L9 pseudogene 9	
delta like canonical Notch ligand 1 [Source:HGNC Symbol;Acc:HGNC:2908]	DLL1
ADAMTS7 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:49407]	ADAMTS7P1
long intergenic non-protein coding RNA 1624 [Source:HGNC Symbol;Acc:HGNC:52051]	LINC01624
ubiquitin conjugating enzyme E2 Q2 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:37440]	UBE2Q2P2
LMNTD2 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:41204]	LMNTD2-AS1
Ras association domain family member 7 [Source:HGNC Symbol;Acc:HGNC:1166]	RASSF7
phospholipase C eta 2 [Source:HGNC Symbol;Acc:HGNC:29037]	PLCH2
cadherin related family member 5 [Source:HGNC Symbol;Acc:HGNC:7521]	CDHR5
survival of motor neuron 1, telomeric [Source:HGNC Symbol;Acc:HGNC:11117]	SMN1
hyperpolarization activated cyclic nucleotide gated potassium channel 3 [Source:HGNC Symbol;Acc:HGNC:19183]	HCN3
pseudogene similar to part of UDP glucuronosyltransferase 2 family protein	
speckle-type POZ protein-like (SPOPL) pseudogene	
UDP glucuronosyltransferase 2 family pseudogene	
UDP glucuronosyltransferase family 2 member A3 [Source:HGNC Symbol;Acc:HGNC:28528]	UGT2A3
hes family bHLH transcription factor 5 [Source:HGNC Symbol;Acc:HGNC:19764]	HES5
CCR4-NOT transcription complex subunit 3 [Source:HGNC Symbol;Acc:HGNC:7879]	CNOT3
family with sequence similarity 189 member B [Source:HGNC Symbol;Acc:HGNC:1233]	FAM189B
TNFRSF14 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:26966]	TNFRSF14-AS1
UDP glucuronosyltransferase family 2 member B27, pseudogene [Source:HGNC Symbol;Acc:HGNC:12551]	UGT2B27P
UDP glucuronosyltransferase family 2 member B29, pseudogene [Source:HGNC Symbol;Acc:HGNC:12552]	UGT2B29P
long intergenic non-protein coding RNA 2197 [Source:HGNC Symbol;Acc:HGNC:53063]	LINC02197
UDP glucuronosyltransferase family 2 member B10 [Source:HGNC Symbol;Acc:HGNC:12544]	UGT2B10
DENN domain containing 11 [Source:HGNC Symbol;Acc:HGNC:29472]	DENND11
peroxiredoxin like 2B [Source:HGNC Symbol;Acc:HGNC:28390]	PRXL2B
T cell-interacting, activating receptor on myeloid cells 1 [Source:HGNC Symbol;Acc:HGNC:37250]	TARM1
novel transcript, antisense to SMN1	
V-set and transmembrane domain containing 1 [Source:HGNC Symbol;Acc:HGNC:29455]	VSTM1
small EDRK-rich factor 1A [Source:HGNC Symbol;Acc:HGNC:10755]	SERF1A
UDP glucuronosyltransferase family 2 member B15 [Source:HGNC Symbol;Acc:HGNC:12546]	UGT2B15
leukocyte receptor cluster member 1 [Source:HGNC Symbol;Acc:HGNC:15502]	LENG1
WEE2 antisense RNA 1 [Source:NCBI gene (formerly Entrezgene);Acc:285962]	WEE2-AS1
leukocyte immunoglobulin like receptor A5 [Source:HGNC Symbol;Acc:HGNC:16309]	LILRA5
NLR family pyrin domain containing 7 [Source:HGNC Symbol;Acc:HGNC:22947]	NLRP7
metallothionein 2 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:7407]	MT2P1
transmembrane serine protease 11E [Source:HGNC Symbol;Acc:HGNC:24465]	TMPRSS11E
single stranded DNA binding protein 1 [Source:HGNC Symbol;Acc:HGNC:11317]	SSBP1
leukocyte immunoglobulin like receptor A2 [Source:HGNC Symbol;Acc:HGNC:6603]	LILRA2
cathepsin O [Source:HGNC Symbol;Acc:HGNC:2542]	CTSO
secretin [Source:HGNC Symbol;Acc:HGNC:10607]	SCT
YTH domain containing 1 [Source:HGNC Symbol;Acc:HGNC:30626]	YTHDC1
phosphatidylserine synthase 2 [Source:HGNC Symbol;Acc:HGNC:15463]	PTDSS2
acid sensing ion channel subunit family member 5 [Source:NCBI gene (formerly Entrezgene);Acc:51802]	
NLR family pyrin domain containing 2 [Source:HGNC Symbol;Acc:HGNC:22948]	NLRP2
tryptophan 2,3-dioxygenase [Source:HGNC Symbol;Acc:HGNC:11708]	TDO2
olfactory receptor family 2 subfamily W member 1 [Source:HGNC Symbol;Acc:HGNC:8281]	OR2W1
NOP56 ribonucleoprotein pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:13962]	NOP56P1
HLA complex group 16	
olfactory receptor family 14 subfamily J member 1 [Source:HGNC Symbol;Acc:HGNC:13971]	OR14J1
glycoprotein VI platelet [Source:NCBI gene (formerly Entrezgene);Acc:51206]	GP6
tripartite motif containing 27 [Source:HGNC Symbol;Acc:HGNC:9975]	TRIM27
acylglycerol kinase [Source:HGNC Symbol;Acc:HGNC:21869]	AGK
natural cytotoxicity triggering receptor 1 [Source:NCBI gene (formerly Entrezgene);Acc:9437]	
defensin beta 104B [Source:HGNC Symbol;Acc:HGNC:26165]	DEFB104B
WEE2 oocyte meiosis inhibiting kinase [Source:HGNC Symbol;Acc:HGNC:19684]	WEE2
defensin beta 105B [Source:HGNC Symbol;Acc:HGNC:29930]	DEFB105B
leukocyte immunoglobulin like receptor B1 [Source:HGNC Symbol;Acc:HGNC:6605]	LILRB1
membrane bound O-acyltransferase domain containing 7 [Source:HGNC Symbol;Acc:HGNC:15505]	MBOAT7
proline rich 23 domain containing 1 [Source:HGNC Symbol;Acc:HGNC:49420]	PRR23D1
novel transcript, antisense to C14orf180	
leukocyte immunoglobulin like receptor A3 [Source:HGNC Symbol;Acc:HGNC:6604]	LILRA3
defensin beta 4B [Source:HGNC Symbol;Acc:HGNC:30193]	DEFB4B
transmembrane protein 179 [Source:HGNC Symbol;Acc:HGNC:20137]	TMEM179
family with sequence similarity 90 member A7, pseudogene [Source:HGNC Symbol;Acc:HGNC:32255]	FAM90A7P
leukocyte immunoglobulin like receptor B2 [Source:HGNC Symbol;Acc:HGNC:6606]	LILRB2
ribosomal protein S9 [Source:HGNC Symbol;Acc:HGNC:10442]	RPS9
defensin beta 103B [Source:HGNC Symbol;Acc:HGNC:31702]	DEFB103B
NADH:ubiquinone oxidoreductase subunit A3 [Source:HGNC Symbol;Acc:HGNC:7686]	NDUFA3
HLA complex group 14 [Source:HGNC Symbol;Acc:HGNC:18323]	HCG14
novel ubiquitin specific peptidase pseudogene	
defensin beta 108C [Source:HGNC Symbol;Acc:HGNC:30847]	DEFB108C
ribosomal protein L13 pseudogene [Source:HGNC Symbol;Acc:HGNC:13978]	RPL13P
family with sequence similarity 90 member A22, pseudogene [Source:HGNC Symbol;Acc:HGNC:32270]	FAM90A22P
zinc finger protein 311 [Source:HGNC Symbol;Acc:HGNC:13847]	ZNF311
osteoclast associated Ig-like receptor [Source:HGNC Symbol;Acc:HGNC:29960]	OSCAR
olfactory receptor family 7 subfamily E member 157 pseudogene [Source:HGNC Symbol;Acc:HGNC:31231]	OR7E157P
heat shock protein family D (Hsp60) member 1 pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:5264]	HSPD1P3
family with sequence similarity 90 member A21, pseudogene [Source:HGNC Symbol;Acc:HGNC:32269]	FAM90A21P
zinc finger protein 705G [Source:HGNC Symbol;Acc:HGNC:37134]	ZNF705G
chromosome 14 open reading frame 180 [Source:HGNC Symbol;Acc:HGNC:33795]	C14orf180
retinol dehydrogenase 13 [Source:HGNC Symbol;Acc:HGNC:19978]	RDH13
FAM20C golgi associated secretory pathway kinase [Source:HGNC Symbol;Acc:HGNC:22140]	FAM20C
defensin beta 107B [Source:HGNC Symbol;Acc:HGNC:31918]	DEFB107B
meteorin like, glial cell differentiation regulator [Source:HGNC Symbol;Acc:HGNC:27584]	METRNL
family with sequence similarity 90 member A6, pseudogene [Source:HGNC Symbol;Acc:HGNC:32254]	FAM90A6P
long intergenic non-protein coding RNA 1623 [Source:HGNC Symbol;Acc:HGNC:52050]	LINC01623
long intergenic non-protein coding RNA 1015 [Source:HGNC Symbol;Acc:HGNC:48988]	LINC01015
sperm associated antigen 11B [Source:HGNC Symbol;Acc:HGNC:14534]	SPAG11B
olfactory receptor family 2 subfamily B member 3 [Source:HGNC Symbol;Acc:HGNC:8238]	OR2B3
HLA complex group 22 (gene/pseudogene) [Source:NCBI gene (formerly Entrezgene);Acc:285834]	HCG22
novel transcript, antisense to B3GNTL1	
tubulin folding cofactor D [Source:HGNC Symbol;Acc:HGNC:11581]	TBCD
leukocyte specific transcript 1 [Source:HGNC Symbol;Acc:HGNC:14189]	LST1
defensin beta 106B [Source:HGNC Symbol;Acc:HGNC:28879]	DEFB106B
ubiquitin-specific protease (USP) pseudogene	
transmembrane channel like 4 [Source:NCBI gene (formerly Entrezgene);Acc:147798]	
family with sequence similarity 66 member B [Source:HGNC Symbol;Acc:HGNC:28890]	FAM66B
tRNA splicing endonuclease subunit 34 [Source:HGNC Symbol;Acc:HGNC:15506]	TSEN34
chromosome 11 open reading frame 2 (C11orf2) pseudogene	
family with sequence similarity 90 member A23, pseudogene [Source:HGNC Symbol;Acc:HGNC:32271]	FAM90A23P
POM121 and ZP3 fusion [Source:HGNC Symbol;Acc:HGNC:9203]	POMZP3
TCF3 fusion partner [Source:HGNC Symbol;Acc:HGNC:13630]	TFPT
TOMM40 pseudogene 4 [Source:HGNC Symbol;Acc:HGNC:54633]	TOMM40P4
CDRT15 pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:33824]	CDRT15P3
neurobeachin (NBEA) pseudogene	
PRAME family member 5 [Source:HGNC Symbol;Acc:HGNC:27995]	PRAMEF5
uroplakin 3B [Source:HGNC Symbol;Acc:HGNC:21444]	UPK3B
pre-mRNA processing factor 31 [Source:NCBI gene (formerly Entrezgene);Acc:26121]	
novel PRAME family pseudogene	
PRAME family member 22 [Source:HGNC Symbol;Acc:HGNC:34393]	PRAMEF22
PRAME family member 18 [Source:HGNC Symbol;Acc:HGNC:30693]	PRAMEF18
MYL6 pseudogene 5 [Source:HGNC Symbol;Acc:HGNC:51646]	MYL6P5
novel PRAME family member pseudogene	
speedy/RINGO cell cycle regulator family member E16 [Source:HGNC Symbol;Acc:HGNC:51512]	SPDYE16
UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase like 1 [Source:HGNC Symbol;Acc:HGNC:21727]	B3GNTL1
PRAME family member 8 [Source:HGNC Symbol;Acc:HGNC:24074]	PRAMEF8
pseudogene similar to part of RB-associated KRAB zinc finger RBAK	
deltex E3 ubiquitin ligase 2 [Source:HGNC Symbol;Acc:HGNC:15973]	DTX2
heterogeneous nuclear ribonucleoprotein C like 2 [Source:NCBI gene (formerly Entrezgene);Acc:440563]	HNRNPCL2
PRAME family member 25 [Source:HGNC Symbol;Acc:HGNC:49179]	PRAMEF25
heterogeneous nuclear ribonucleoprotein C like 4 [Source:NCBI gene (formerly Entrezgene);Acc:101060301]	HNRNPCL4
PRAME family member 33 [Source:NCBI gene (formerly Entrezgene);Acc:645382]	PRAMEF33
PRAME family member 9 [Source:HGNC Symbol;Acc:HGNC:27996]	PRAMEF9
postmeiotic segregation increased 2-like 5 (PMS2L5) pseudogene	
pseudogene similar to part of postmeiotic segregation increased 2-like 3 PMS2L3	
