SYMBOL	DESCRIPTION
GPR53P	G protein-coupled receptor 53, pseudogene
OR2J2	Olfactory receptor family 2 subfamily J member 2
PDCD6IPP2	PDCD6IP pseudogene 2
TMEM183AP1	Transmembrane protein 183A pseudogene 1
HLA-DRB9	Major histocompatibility complex, class II, DR beta 9 (pseudogene)
MSH5-SAPCD1	MSH5-SAPCD1 readthrough (NMD candidate)
MIF	Macrophage migration inhibitory factor
GOLGA8M	Golgin A8 family member M
NSMCE3	NSE3 homolog, SMC5-SMC6 complex component
HERC2P9	Hect domain and RLD 2 pseudogene 9
HLA-G	Major histocompatibility complex, class I, G
DERL3	Derlin 3
RPL41P2	Ribosomal protein L41 pseudogene 2
KSR1P1	Kinase suppressor of ras 1 pseudogene 1
IGKV1OR10-1	Immunoglobulin kappa variable 1/OR10-1 (pseudogene)
SMIM10L1	Small integral membrane protein 10 like 1
TAS2R64P	Taste 2 receptor member 64 pseudogene
PABPC1P8	Poly(A) binding protein cytoplasmic 1 pseudogene 8
TRBV11-1	T cell receptor beta variable 11-1
TAS2R10	Taste 2 receptor member 10
TRBV7-6	T cell receptor beta variable 7-6
TRBV10-1	T cell receptor beta variable 10-1
TAS2R63P	Taste 2 receptor member 63 pseudogene
TRBV5-2	T cell receptor beta variable 5-2 (pseudogene)
TRBV7-4	T cell receptor beta variable 7-4
TRBV5-5	T cell receptor beta variable 5-5
TRBV11-3	T cell receptor beta variable 11-3
TRBV1	T cell receptor beta variable 1 (pseudogene)
LILRB5	Leukocyte immunoglobulin like receptor B5
TRBV19	T cell receptor beta variable 19
TRBV12-4	T cell receptor beta variable 12-4
TRBV7-1	T cell receptor beta variable 7-1 (non-functional)
CHRFAM7A	CHRNA7 (exons 5-10) and FAM7A (exons A-E) fusion
TRBV25-1	T cell receptor beta variable 25-1
TRBV17	T cell receptor beta variable 17 (non-functional)
SERPINF1	Serpin family F member 1
TRBV5-3	T cell receptor beta variable 5-3 (non-functional)
TRBV7-9	T cell receptor beta variable 7-9
TRBV5-7	T cell receptor beta variable 5-7 (non-functional)
OR10A3	Olfactory receptor family 10 subfamily A member 3
TRBV27	T cell receptor beta variable 27
RPL32P1	Ribosomal protein L32 pseudogene 1
OR2J1	Olfactory receptor family 2 subfamily J member 1
TRBV7-2	T cell receptor beta variable 7-2
OR5P2	Olfactory receptor family 5 subfamily P member 2
DDX39BP1	DEAD-box helicase 39B pseudogene 1
TRBV21-1	T cell receptor beta variable 21-1 (pseudogene)
OR5E1P	Olfactory receptor family 5 subfamily E member 1 pseudogene
SLC2A11	Solute carrier family 2 member 11
HCG4P8	HLA complex group 4 pseudogene 8
SCARF1	Scavenger receptor class F member 1
OR5P3	Olfactory receptor family 5 subfamily P member 3
TRPV5	Transient receptor potential cation channel subfamily V member 5
DHX16	DEAH-box helicase 16
OR10A6	Olfactory receptor family 10 subfamily A member 6 (gene/pseudogene)
NLRP10	NLR family pyrin domain containing 10
HSP90AA4P	Heat shock protein 90 alpha family class A member 4, pseudogene
ARHGAP11B	Rho GTPase activating protein 11B
LINC01262	Long intergenic non-protein coding RNA 1262
U8	U8 small nucleolar RNA
ARHGAP11A	Rho GTPase activating protein 11A
PCGF7P	Polycomb group ring finger 7 pseudogene
ZNF729	Zinc finger protein 729
ZNF676	Zinc finger protein 676
HLA-K	Major histocompatibility complex, class I, K (pseudogene)
HSPA1B	Heat shock protein family A (Hsp70) member 1B
ZNF92P2	Zinc finger protein 92 pseudogene 2
MTDHP5	Metadherin pseudogene 5
VN1R85P	Vomeronasal 1 receptor 85 pseudogene
BNIP3P31	BCL2 interacting protein 3 pseudogene 31
GABBR1	Gamma-aminobutyric acid type B receptor subunit 1
BNIP3P30	BCL2 interacting protein 3 pseudogene 30
TRBV12-5	T cell receptor beta variable 12-5
TRBJ2-2P	T cell receptor beta joining 2-2P (non-functional)
PRSS3P3	PRSS3 pseudogene 3
TRBJ1-6	T cell receptor beta joining 1-6
TRBJ1-5	T cell receptor beta joining 1-5
TRBV11-2	T cell receptor beta variable 11-2
TRBV20-1	T cell receptor beta variable 20-1
TRBV10-2	T cell receptor beta variable 10-2
PHLDA2	Pleckstrin homology like domain family A member 2
SCGB1C2	Secretoglobin family 1C member 2
LLCFC1	LLLL and CFNLAS motif containing 1
LENG8	Leukocyte receptor cluster member 8
TRBV9	T cell receptor beta variable 9
PRSS3P1	PRSS3 pseudogene 1
LINC02091	Long intergenic non-protein coding RNA 2091
CARS1	Cysteinyl-tRNA synthetase 1
TRBC1	T cell receptor beta constant 1
TRBJ2-1	T cell receptor beta joining 2-1
IGKV1D-8	Immunoglobulin kappa variable 1D-8
RPH3AL	Rabphilin 3A like (without C2 domains)
PRSS59P	Serine protease 59, pseudogene
TLCD2	TLC domain containing 2
IGKV3D-7	Immunoglobulin kappa variable 3D-7
TRPM1	Transient receptor potential cation channel subfamily M member 1
TRPV6	Transient receptor potential cation channel subfamily V member 6
IGKV1OR2-118	Immunoglobulin kappa variable 1/OR2-118 (pseudogene)
WDR81	WD repeat domain 81
IGLV3-31	Immunoglobulin lambda variable 3-31 (pseudogene)
IGLV1-40	Immunoglobulin lambda variable 1-40
SLC39A11	Solute carrier family 39 member 11
ATP9B	ATPase phospholipid transporting 9B (putative)
SALL3	Spalt like transcription factor 3
ASH2LP1	ASH2L pseudogene 1
LL22NC03-63E9.3	Uncharacterized LOC648691
LINC01896	Long intergenic non-protein coding RNA 1896
IGLV3-30	Immunoglobulin lambda variable 3-30 (pseudogene)
TRBV6-7	T cell receptor beta variable 6-7 (non-functional)
IGLV1-44	Immunoglobulin lambda variable 1-44
PRSS2	Serine protease 2
TRBV7-3	T cell receptor beta variable 7-3
IGLV3-32	Immunoglobulin lambda variable 3-32 (non-functional)
TRBV18	T cell receptor beta variable 18
MOXD2P	Monooxygenase DBH like 2, pseudogene
ZNF280B	Zinc finger protein 280B
NDUFB9P1	NADH:ubiquinone oxidoreductase subunit B9 pseudogene 1
PRSS1	Serine protease 1
TAF9	TATA-box binding protein associated factor 9
IGLVI-38	Immunoglobulin lambda variable (I)-38 (pseudogene)
IGLV2-34	Immunoglobulin lambda variable 2-34 (pseudogene)
TRBV23-1	T cell receptor beta variable 23-1 (non-functional)
RPH3AL-AS1	RPH3AL antisense RNA 1
IGLV5-37	Immunoglobulin lambda variable 5-37
SLC43A2	Solute carrier family 43 member 2
TRBV5-4	T cell receptor beta variable 5-4
PRSS3P2	PRSS3 pseudogene 2
IGLV7-43	Immunoglobulin lambda variable 7-43
DOC2B	Double C2 domain beta
OR6V1	Olfactory receptor family 6 subfamily V member 1
OR9P1P	Olfactory receptor family 9 subfamily P member 1 pseudogene
IGLVVII-41-1	Immunoglobulin lambda variable (VII)-41-1 (pseudogene)
PGBD4P1	PiggyBac transposable element derived 4 pseudogene 1
TRBJ1-4	T cell receptor beta joining 1-4
IGLVI-42	Immunoglobulin lambda variable (I)-42 (pseudogene)
MGAM2	Maltase-glucoamylase 2 (putative)
IGLV1-41	Immunoglobulin lambda variable 1-41 (pseudogene)
IGLV1-36	Immunoglobulin lambda variable 1-36
LINC02887	Long intergenic non-protein coding RNA 2887
ZNF280A	Zinc finger protein 280A
RAD17	RAD17 checkpoint clamp loader component
LAIR2	Leukocyte associated immunoglobulin like receptor 2
NCF4-AS1	NCF4 antisense RNA 1
NCF4	Neutrophil cytosolic factor 4
IGLV2-33	Immunoglobulin lambda variable 2-33 (non-functional)
IGLV5-45	Immunoglobulin lambda variable 5-45
PATL2	PAT1 homolog 2
OR9A2	Olfactory receptor family 9 subfamily A member 2
TRIM69	Tripartite motif containing 69
TRBV13	T cell receptor beta variable 13
TRBV28	T cell receptor beta variable 28
TRBJ2-2	T cell receptor beta joining 2-2
LILRB4	Leukocyte immunoglobulin like receptor B4
PRAME	PRAME nuclear receptor transcriptional regulator
EPHB6	EPH receptor B6
ATP6V1G3	ATPase H+ transporting V1 subunit G3
PVALB	Parvalbumin
GRK1	G protein-coupled receptor kinase 1
TMEM255B	Transmembrane protein 255B
LINC00552	Long intergenic non-protein coding RNA 552
PTPRC	Protein tyrosine phosphatase receptor type C
TJP1	Tight junction protein 1
MYOM2	Myomesin 2
RILP	Rab interacting lysosomal protein
SORD2P	Sorbitol dehydrogenase 2, pseudogene
MIR22HG	MIR22 host gene
B2M	Beta-2-microglobulin
CDC42EP5	CDC42 effector protein 5
MTRNR2L6	MT-RNR2 like 6
TRBV6-5	T cell receptor beta variable 6-5
TRBV14	T cell receptor beta variable 14
TRBV12-1	T cell receptor beta variable 12-1 (pseudogene)
TRBV4-2	T cell receptor beta variable 4-2
TRBV5-1	T cell receptor beta variable 5-1
PRPF8	Pre-mRNA processing factor 8
TRBJ2-6	T cell receptor beta joining 2-6
KRT31	Keratin 31
TRBV7-7	T cell receptor beta variable 7-7
DDT	D-dopachrome tautomerase
TRBV2	T cell receptor beta variable 2
MGAM	Maltase-glucoamylase
TBC1D3P7	TBC1 domain family member 3 pseudogene 7
KRT33A	Keratin 33A
KCNQ1	Potassium voltage-gated channel subfamily Q member 1
KRT37	Keratin 37
KCNQ1-AS1	KCNQ1 antisense RNA 1
KRTAP16-1	Keratin associated protein 16-1
GSTT1	Glutathione S-transferase theta 1
KRT34	Keratin 34
TRBV16	T cell receptor beta variable 16
TRBVB	T cell receptor beta variable B (pseudogene)
KBTBD11-OT1	KBTBD11 overlapping transcript 1
TRBV6-1	T cell receptor beta variable 6-1
NAP1L4	Nucleosome assembly protein 1 like 4
PRSS58	Serine protease 58
HLA-DOB	Major histocompatibility complex, class II, DO beta
KRTAP17-1	Keratin associated protein 17-1
KBTBD11-AS1	KBTBD11 antisense RNA 1
PEBP1P3	Phosphatidylethanolamine binding protein 1 pseudogene 3
KBTBD11	Kelch repeat and BTB domain containing 11
IGLV7-35	Immunoglobulin lambda variable 7-35 (pseudogene)
GOLGA8J	Golgin A8 family member J
KRT33B	Keratin 33B
TRBV24-1	T cell receptor beta variable 24-1
TRBJ2-7	T cell receptor beta joining 2-7
TRBJ1-3	T cell receptor beta joining 1-3
TRBVA	T cell receptor beta variable A (pseudogene)
TRBV26	T cell receptor beta variable 26 (pseudogene)
GREM1	Gremlin 1, DAN family BMP antagonist
OR6W1P	Olfactory receptor family 6 subfamily W member 1 pseudogene
TRBV4-1	T cell receptor beta variable 4-1
LILRA1	Leukocyte immunoglobulin like receptor A1
ARHGEF10	Rho guanine nucleotide exchange factor 10
TRBC2	T cell receptor beta constant 2
TRBV8-1	T cell receptor beta variable 8-1 (pseudogene)
OR2H2	Olfactory receptor family 2 subfamily H member 2
TRBV22-1	T cell receptor beta variable 22-1 (pseudogene)
TRBV10-3	T cell receptor beta variable 10-3
HCG17	HLA complex group 17
TRBJ1-1	T cell receptor beta joining 1-1
TRBJ2-3	T cell receptor beta joining 2-3
TRBV7-5	T cell receptor beta variable 7-5 (pseudogene)
HLA-DRB3	Major histocompatibility complex, class II, DR beta 3
TRBJ2-5	T cell receptor beta joining 2-5
TRBV5-6	T cell receptor beta variable 5-6
MIF-AS1	MIF antisense RNA 1
TRBV12-2	T cell receptor beta variable 12-2 (pseudogene)
TRBV6-4	T cell receptor beta variable 6-4
TRBJ1-2	T cell receptor beta joining 1-2
GSTT2	Glutathione S-transferase theta 2 (gene/pseudogene)
TRBD1	T cell receptor beta diversity 1
FAN1	FANCD2 and FANCI associated nuclease 1
TRBJ2-4	T cell receptor beta joining 2-4
TRBV6-2	T cell receptor beta variable 6-2
TRBV30	T cell receptor beta variable 30
TRBV12-3	T cell receptor beta variable 12-3
TRBV3-1	T cell receptor beta variable 3-1
TRBV8-2	T cell receptor beta variable 8-2 (pseudogene)
WBP1LP1	WBP1L pseudogene 1
TRBV6-8	T cell receptor beta variable 6-8
TRBV29-1	T cell receptor beta variable 29-1
TRBV6-6	T cell receptor beta variable 6-6
TRBV15	T cell receptor beta variable 15
CHCHD10	Coiled-coil-helix-coiled-coil-helix domain containing 10
KEL	Kell metallo-endopeptidase (Kell blood group)
SCG5	Secretogranin V
PRPF31	Pre-mRNA processing factor 31
GSTT4	Glutathione S-transferase theta 4
MTMR10	Myotubularin related protein 10
DDTL	D-dopachrome tautomerase like
KIF5C	Kinesin family member 5C
KLF13	Kruppel like factor 13
ZNF251	Zinc finger protein 251
MMP11	Matrix metallopeptidase 11
SERPINF2	Serpin family F member 2
TRIM26BP	Tripartite motif containing 26B, pseudogene
CEP72-DT	CEP72 divergent transcript
NCR3	Natural cytotoxicity triggering receptor 3
CEP72	Centrosomal protein 72
LRRC37A2	Leucine rich repeat containing 37 member A2
SLC9A3	Solute carrier family 9 member A3
GSTT2B	Glutathione S-transferase theta 2B
RN7SL105P	RNA, 7SL, cytoplasmic 105, pseudogene
LENG9	Leukocyte receptor cluster member 9
MUC2	Mucin 2, oligomeric mucus/gel-forming
RN7SL268P	RNA, 7SL, cytoplasmic 268, pseudogene
TSBP1-AS1	TSBP1 and BTNL2 antisense RNA 1
TAMM41	TAM41 mitochondrial translocator assembly and maintenance homolog
DDX39BP2	DEAD-box helicase 39B pseudogene 2
AGPAT1	1-acylglycerol-3-phosphate O-acyltransferase 1
MAPT-IT1	MAPT intronic transcript 1
MAPT	Microtubule associated protein tau
LINC01238	Long intergenic non-protein coding RNA 1238
GP6	Glycoprotein VI platelet
CDK7	Cyclin dependent kinase 7
LINC02688	Long intergenic non-protein coding RNA 2688
LINC01880	Long intergenic non-protein coding RNA 1880
MARK2P14	Microtubule affinity regulating kinase 2 pseudogene 14
NUP210P2	Nucleoporin 210 pseudogene 2
CUBNP2	Cubilin pseudogene 2
MARCHF8	Membrane associated ring-CH-type finger 8
CDKN1C	Cyclin dependent kinase inhibitor 1C
OR6D1P	Olfactory receptor family 6 subfamily D member 1 pseudogene
ANKRD30BP3	Ankyrin repeat domain 30B pseudogene 3
HLA-DRA	Major histocompatibility complex, class II, DR alpha
OR13A1	Olfactory receptor family 13 subfamily A member 1
CARS1-AS1	CARS1 antisense RNA 1
COX6CP18	Cytochrome c oxidase subunit 6C pseudogene 18
ALOX5	Arachidonate 5-lipoxygenase
SLC22A18	Solute carrier family 22 member 18
LILRB3	Leukocyte immunoglobulin like receptor B3
LINC00588	Long intergenic non-protein coding RNA 588
LINC01606	Long intergenic non-protein coding RNA 1606
SLC22A18AS	Solute carrier family 22 member 18 antisense
GAL3ST2	Galactose-3-O-sulfotransferase 2
KCNQ1DN	KCNQ1 downstream neighbor
NEU4	Neuraminidase 4
RPL13AP	Ribosomal protein L13a pseudogene
MRPS16P3	Mitochondrial ribosomal protein S16 pseudogene 3
SNORA54	Small nucleolar RNA, H/ACA box 54
APOL5	Apolipoprotein L5
PPP1R11	Protein phosphatase 1 regulatory inhibitor subunit 11
MROH5	Maestro heat like repeat family member 5 (gene/pseudogene)
PLEKHM1	Pleckstrin homology and RUN domain containing M1
RBFOX2	RNA binding fox-1 homolog 2
LINC01300	Long intergenic non-protein coding RNA 1300
HNRNPA1P38	Heterogeneous nuclear ribonucleoprotein A1pseudogene 38
PTP4A3	Protein tyrosine phosphatase 4A3
RNU6-1207P	RNA, U6 small nuclear 1207, pseudogene
TNXB	Tenascin XB
TRIM15	Tripartite motif containing 15
RPS17P1	Ribosomal protein S17 pseudogene 1
GPR20	G protein-coupled receptor 20
MICD	MHC class I polypeptide-related sequence D (pseudogene)
ARHGAP27	Rho GTPase activating protein 27
OR2G1P	Olfactory receptor family 2 subfamily G member 1 pseudogene
WASF5P	WASP family member 5, pseudogene
GPI	Glucose-6-phosphate isomerase
PTMAP1	Prothymosin alpha pseudogene 1
HLA-V	Major histocompatibility complex, class I, V (pseudogene)
TMC4	Transmembrane channel like 4
LY6G6F	Lymphocyte antigen 6 family member G6F
KRT18P53	Keratin 18 pseudogene 53
RPP21	Ribonuclease P/MRP subunit p21
PPP2R3B	Protein phosphatase 2 regulatory subunit B''beta
PSORS1C1	Psoriasis susceptibility 1 candidate 1
HLA-T	Major histocompatibility complex, class I, T (pseudogene)
LINC00685	Long intergenic non-protein coding RNA 685
LINC01237	Long intergenic non-protein coding RNA 1237
FABP5P13	Fatty acid binding protein 5 pseudogene 13
FAM240C	Family with sequence similarity 240 member C
ERMARD	ER membrane associated RNA degradation
RTP5	Receptor transporter protein 5 (putative)
HSPA1L	Heat shock protein family A (Hsp70) member 1 like
PDCD1	Programmed cell death 1
RPL7P4	Ribosomal protein L7 pseudogene 4
PRRT1	Proline rich transmembrane protein 1
RPL7AP7	Ribosomal protein L7a pseudogene 7
LTB	Lymphotoxin beta
IFITM4P	Interferon induced transmembrane protein 4 pseudogene
LINC01556	Long intergenic non-protein coding RNA 1556
MCCD1	Mitochondrial coiled-coil domain 1
TMPOP1	Thymopoietin pseudogene 1
FLOT1	Flotillin 1
PSMB9	Proteasome 20S subunit beta 9
OR2AD1P	Olfactory receptor family 2 subfamily AD member 1 pseudogene
KANSL1	KAT8 regulatory NSL complex subunit 1
UBQLN1P1	Ubiquilin 1 pseudogene 1
UQCRHP1	Ubiquinol-cytochrome c reductase hinge protein pseudogene 1
OR10C1	Olfactory receptor family 10 subfamily C member 1
HLA-DQB2	Major histocompatibility complex, class II, DQ beta 2
TC2N	Tandem C2 domains, nuclear
PPP1R18	Protein phosphatase 1 regulatory subunit 18
NEU1	Neuraminidase 1
TAF4	TATA-box binding protein associated factor 4
KANSL1-AS1	KANSL1 antisense RNA 1
CDH4	Cadherin 4
LRRC37A	Leucine rich repeat containing 37A
MAS1LP1	MAS1L pseudogene 1
HCG4	HLA complex group 4
SUMO2P1	SUMO2 pseudogene 1
MDC1-AS1	MDC1 antisense RNA 1
ZNRD1ASP	Zinc ribbon domain containing 1 antisense, pseudogene
LINC02825	Long intergenic non-protein coding RNA 2825
PPIAP9	Peptidylprolyl isomerase A pseudogene 9
SAPCD1	Suppressor APC domain containing 1
GAPDHP26	Glyceraldehyde 3 phosphate dehydrogenase pseudogene 26
SPACA7	Sperm acrosome associated 7
LINC00242	Long intergenic non-protein coding RNA 242
TAP1	Transporter 1, ATP binding cassette subfamily B member
LINC00574	Long intergenic non-protein coding RNA 574
LRRC37A3	Leucine rich repeat containing 37 member A3
BAAT	Bile acid-CoA:amino acid N-acyltransferase
APOM	Apolipoprotein M
DYNLT2	Dynein light chain Tctex-type 2
SPPL2C	Signal peptide peptidase like 2C
RPS7P11	Ribosomal protein S7 pseudogene 11
CES1P1	Carboxylesterase 1 pseudogene 1
CATSPERB	Cation channel sperm associated auxiliary subunit beta
LINC02210	Long intergenic non-protein coding RNA 2210
TUBGCP3	Tubulin gamma complex associated protein 3
CES5A	Carboxylesterase 5A
FYTTD1P1	Forty-two-three domain containing 1 pseudogene 1
TRMT112P4	TRNA methyltransferase subunit 11-2 pseudogene 4
PLPPR1	Phospholipid phosphatase related 1
LINC01070	Long intergenic non-protein coding RNA 1070
LINC01043	Long intergenic non-protein coding RNA 1043
LINC01044	Long intergenic non-protein coding RNA 1044
CEP170	Centrosomal protein 170
C4B_2	Complement component 4B (Chido blood group), copy 2
MAPK8IP1P2	Mitogen-activated protein kinase 8 interacting protein 1 pseudogene 2
NSFP1	N-ethylmaleimide-sensitive factor pseudogene 1
WNT3	Wnt family member 3
ARMC10	Armadillo repeat containing 10
DND1P1	DND microRNA-mediated repression inhibitor 1 pseudogene 1
CHCHD2P2	Coiled-coil-helix-coiled-coil-helix domain containing 2 pseudogene 2
UBD	Ubiquitin D
GTF2H2C_2	GTF2H2 family member C, copy 2
MAPT-AS1	MAPT antisense RNA 1
ARL17B	ADP ribosylation factor like GTPase 17B
RPL23AP95	Ribosomal protein L23a pseudogene 95
DPY19L2P2	DPY19L2 pseudogene 2
POLR3GP1	RNA polymerase III subunit G pseudogene 1
NANOGP7	Nanog homeobox pseudogene 7
BTNL2	Butyrophilin like 2
DLGAP2-AS1	DLGAP2 antisense RNA 1
VARS1	Valyl-tRNA synthetase 1
NSF	N-ethylmaleimide sensitive factor, vesicle fusing ATPase
NAPEPLD	N-acyl phosphatidylethanolamine phospholipase D
CLN8	CLN8 transmembrane ER and ERGIC protein
PRB3	Proline rich protein BstNI subfamily 3
CLN8-AS1	CLN8 antisense RNA 1
TAS2R42	Taste 2 receptor member 42
CES1	Carboxylesterase 1
CRYZP1	Crystallin zeta pseudogene 1
MAPK8IP1P1	Mitogen-activated protein kinase 8 interacting protein 1 pseudogene 1
HNRNPA1P2	Heterogeneous nuclear ribonucleoprotein A1 pseudogene 2
RDM1P2	RDM1 pseudogene 2
STK19	Serine/threonine kinase 19
STH	Saitohin
AKT3	AKT serine/threonine kinase 3
CRHR1	Corticotropin releasing hormone receptor 1
RN7SKP117	RN7SK pseudogene 117
WNT9B	Wnt family member 9B
SAPCD1-AS1	SAPCD1 antisense RNA 1
UBDP1	Ubiquitin D pseudogene 1
HLA-DPB2	Major histocompatibility complex, class II, DP beta 2 (pseudogene)
SLC5A8	Solute carrier family 5 member 8
RNF5	Ring finger protein 5
PRB4	Proline rich protein BstNI subfamily 4
LINC02210-CRHR1	LINC02210-CRHR1 readthrough
ANO4	Anoctamin 4
LRRC37A4P	Leucine rich repeat containing 37 member A4, pseudogene
PRH1	Proline rich protein HaeIII subfamily 1
LSM2	LSM2 homolog, U6 small nuclear RNA and mRNA degradation associated
HLA-DQB1-AS1	HLA-DQB1 antisense RNA 1
RPS27P14	Ribosomal protein S27 pseudogene 14
TRIM39	Tripartite motif containing 39
MARVELD2	MARVEL domain containing 2
